x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23,y'__24
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Bottom_R1\PICT433.png,5,1.2484004e-07,6.607198e-06,6.0789546e-07,1.7594838e-06,0.00026765445,0.9949308,0.002040386,0.0006518385,7.969661e-07,0.0002557645,1.8185197e-05,0.0006091064,0.00044963343,2.0464504e-05,1.5771625e-06,3.9464635e-06,9.8163415e-05,8.2720944e-05,0.00012899596,0.00040159293,5.112136e-08,9.510472e-06,1.36211875e-05,4.5174545e-08,6.1438436e-06
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Back_R3\PICT512.png,3,1.152152e-05,0.005305533,0.00035865259,0.9934337,3.088582e-08,1.1131956e-08,6.6178956e-09,6.296369e-08,5.5215515e-10,1.0922648e-07,2.1988586e-07,1.593271e-05,2.3967893e-08,8.8622065e-10,3.059524e-08,3.2014663e-07,2.6007253e-06,2.9708268e-08,2.3827029e-06,3.436928e-06,6.230783e-06,0.0006830293,9.59971e-06,0.00016606828,3.506024e-07
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Back_R3\PICT599.png,3,7.434093e-05,0.009434865,0.0067053027,0.9826331,3.499101e-07,6.522568e-08,5.3692315e-07,6.472899e-07,1.2278777e-08,5.751178e-07,8.608809e-07,1.7703265e-05,4.921446e-08,2.0936779e-10,1.4827073e-06,1.0534711e-05,3.1612706e-07,3.6775095e-08,3.1452873e-05,5.3534073e-05,1.0150818e-06,0.00024283085,0.00057220325,0.00021536715,2.588757e-06
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Right_R2\PICT065.png,18,0.0038375321,0.0008589244,0.002314541,0.00011832527,0.0003684431,0.00025904205,0.07273226,0.00030923192,0.3405984,4.00094e-05,0.24893396,0.00052481465,3.7427662e-06,0.0016120943,0.044406936,0.00014138153,3.3924203e-05,2.9489547e-05,0.24442042,0.004133841,1.3764162e-05,0.00017841195,0.01789018,7.088377e-05,0.016169418
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Right_R0\PICT056.png,16,0.0013595438,1.9575262e-05,6.598906e-07,0.0009682491,0.00023421965,1.5397436e-05,6.950621e-06,1.4825346e-05,0.00021070674,5.5311826e-05,2.1034442e-07,2.2081613e-05,0.0057388064,5.9770905e-06,5.3426527e-05,2.0473801e-06,0.9896275,9.310032e-05,0.00069923606,9.168001e-07,0.00016323077,3.753699e-05,2.7821978e-05,0.00013640313,0.00050622673
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Back_R1\PICT610.png,1,0.009133024,0.9753643,0.005260935,0.005776853,1.4010453e-09,4.7764024e-07,4.2338293e-09,1.6757262e-08,9.419265e-09,8.647096e-06,3.001582e-07,1.3281881e-07,7.548509e-09,1.4403013e-05,1.1737887e-05,2.7333378e-08,9.716616e-09,0.0004405328,0.00038803692,6.718527e-08,3.0282905e-05,0.0013006481,0.002163441,3.6135347e-07,0.00010584682
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Back_R2\PICT576.png,2,0.0021053487,0.118092574,0.40655166,0.063051224,3.164461e-05,0.0015828669,0.007260496,0.00090440194,9.0665104e-05,0.0133654745,0.015528927,0.0016288598,0.00039568765,2.0731727e-06,0.0006638548,0.059588317,0.0006168435,0.0009164544,0.013268307,0.22777797,0.0023036012,0.003121724,0.036657862,0.020331284,0.004161957
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Top_R1\PICT191.png,21,2.4371486e-05,0.0009985989,0.00024748166,8.9588844e-05,0.0008913712,0.002080701,5.7240345e-06,4.525146e-05,2.0476525e-06,0.0004955303,0.00033096247,0.00010272362,0.00025978682,0.036190722,5.720384e-06,8.182669e-08,1.2425309e-05,0.0012711781,0.00019982949,1.03163875e-05,5.176415e-06,0.95660514,4.7056008e-05,5.1446145e-09,7.822093e-05
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Back_R1\PICT539.png,1,0.06245964,0.55617136,0.00027072028,0.0015893371,4.31171e-08,6.2200553e-07,6.6661e-10,8.27213e-09,1.6419527e-08,1.3170099e-05,5.189681e-07,1.9973609e-07,2.1797956e-05,4.8540478e-05,8.5431395e-08,9.938112e-09,1.1989692e-07,0.00023706755,0.00045746306,1.1994662e-06,0.0002451951,0.3780602,5.74841e-05,3.616493e-06,0.00036152278
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes\Left_R1\PICT295.png,13,0.0018092766,0.0021470278,8.399326e-05,2.335006e-05,3.8968294e-05,0.00046663213,1.2679471e-06,1.0679161e-06,9.349314e-06,0.0005074997,3.1122577e-06,1.7021885e-06,5.763212e-05,0.98886466,1.11753625e-05,6.5400917e-07,1.984791e-06,0.0050039627,1.4939556e-06,7.670459e-06,6.8327274e-05,0.00084747147,4.078934e-05,2.2190116e-08,7.844129e-07
